Datetime,Equity_Value,Date
2017-10-30 11:41:00,1094747.55,2017-10-30
2017-10-30 11:42:00,1094747.9,2017-10-30
2017-10-30 11:43:00,1094749.0,2017-10-30
2017-10-30 11:44:00,1094748.5,2017-10-30
2017-10-30 11:45:00,1094744.6,2017-10-30
2017-10-30 11:46:00,1094746.6,2017-10-30
2017-10-30 11:47:00,1094745.85,2017-10-30
2017-10-30 11:48:00,1094745.1,2017-10-30
2017-10-30 11:49:00,1094746.55,2017-10-30
2017-10-30 11:50:00,1094746.5,2017-10-30
2017-10-30 11:51:00,1094747.7,2017-10-30
2017-10-30 11:52:00,1094748.0,2017-10-30
2017-10-30 11:53:00,1094753.95,2017-10-30
2017-10-30 11:54:00,1094752.35,2017-10-30
2017-10-30 11:55:00,1094751.1,2017-10-30
2017-10-30 11:56:00,1094750.5,2017-10-30
2017-10-30 11:57:00,1094754.0,2017-10-30
2017-10-30 11:58:00,1094750.55,2017-10-30
2017-10-30 11:59:00,1094750.85,2017-10-30
2017-10-30 12:00:00,1094751.2,2017-10-30
2017-10-30 12:01:00,1094751.5,2017-10-30
2017-10-30 12:02:00,1094750.05,2017-10-30
2017-10-30 12:03:00,1094751.4,2017-10-30
2017-10-30 12:04:00,1094751.4,2017-10-30
2017-10-30 12:05:00,1094751.65,2017-10-30
2017-10-30 12:06:00,1094753.35,2017-10-30
2017-10-30 12:07:00,1094753.85,2017-10-30
2017-10-30 12:08:00,1094754.45,2017-10-30
2017-10-30 12:09:00,1094753.8,2017-10-30
2017-10-30 12:10:00,1094752.8,2017-10-30
2017-10-30 12:11:00,1094751.9,2017-10-30
2017-10-30 12:12:00,1094752.9,2017-10-30
2017-10-30 12:13:00,1094753.0,2017-10-30
2017-10-30 12:14:00,1094750.6,2017-10-30
2017-10-30 12:15:00,1094752.05,2017-10-30
2017-10-30 12:16:00,1094753.4,2017-10-30
2017-10-30 12:17:00,1094751.3,2017-10-30
2017-10-30 12:18:00,1094750.4,2017-10-30
2017-10-30 12:19:00,1094751.95,2017-10-30
2017-10-30 12:20:00,1094750.5,2017-10-30
2017-10-30 12:21:00,1094750.35,2017-10-30
2017-10-30 12:22:00,1094747.65,2017-10-30
2017-10-30 12:23:00,1094745.55,2017-10-30
2017-10-30 12:24:00,1094747.15,2017-10-30
2017-10-30 12:25:00,1094745.55,2017-10-30
2017-10-30 12:26:00,1094747.95,2017-10-30
2017-10-30 12:27:00,1094748.4,2017-10-30
2017-10-30 12:28:00,1094748.3,2017-10-30
2017-10-30 12:29:00,1094750.55,2017-10-30
2017-10-30 12:30:00,1094750.05,2017-10-30
2017-10-30 12:31:00,1094751.75,2017-10-30
2017-10-30 12:32:00,1094752.35,2017-10-30
2017-10-30 12:33:00,1094750.3,2017-10-30
2017-10-30 12:34:00,1094748.2,2017-10-30
2017-10-30 12:35:00,1094749.0,2017-10-30
2017-10-30 12:36:00,1094746.65,2017-10-30
2017-10-30 12:37:00,1094747.15,2017-10-30
2017-10-30 12:38:00,1094750.25,2017-10-30
2017-10-30 12:39:00,1094751.0,2017-10-30
2017-10-30 12:40:00,1094750.6,2017-10-30
2017-10-30 12:41:00,1094753.8,2017-10-30
2017-10-30 12:42:00,1094753.75,2017-10-30
2017-10-30 12:43:00,1094752.75,2017-10-30
2017-10-30 12:44:00,1094753.3,2017-10-30
2017-10-30 12:45:00,1094754.2,2017-10-30
2017-10-30 12:46:00,1094752.6,2017-10-30
2017-10-30 12:47:00,1094752.5,2017-10-30
2017-10-30 12:48:00,1094752.15,2017-10-30
2017-10-30 12:49:00,1094754.85,2017-10-30
2017-10-30 12:50:00,1094753.4,2017-10-30
2017-10-30 12:51:00,1094753.6,2017-10-30
2017-10-30 12:52:00,1094750.3,2017-10-30
2017-10-30 12:53:00,1094750.5,2017-10-30
2017-10-30 12:54:00,1094739.6,2017-10-30
2017-10-30 12:55:00,1094750.95,2017-10-30
2017-10-30 12:56:00,1094750.8,2017-10-30
2017-10-30 12:57:00,1094752.05,2017-10-30
2017-10-30 12:58:00,1094752.8,2017-10-30
2017-10-30 12:59:00,1094752.45,2017-10-30
2017-10-30 13:00:00,1094748.45,2017-10-30
2017-10-30 13:01:00,1094751.8,2017-10-30
2017-10-30 13:02:00,1094752.25,2017-10-30
2017-10-30 13:03:00,1094749.85,2017-10-30
2017-10-30 13:04:00,1094750.05,2017-10-30
2017-10-30 13:05:00,1094751.85,2017-10-30
2017-10-30 13:06:00,1094743.45,2017-10-30
2017-10-30 13:07:00,1094751.2,2017-10-30
2017-10-30 13:08:00,1094753.95,2017-10-30
